codigo,descripcion
A03-351.2,"Fabricación de aparatos y equipo de radiocomunicación, radiodifusión y televisión"
A03-355.1,Fabricación de receptores de radio y televisión y aparatos de registro y reproducción de sonido e imagen
A03-355.2,"Edición de soportes grabados de sonido, de video y de informática"
A03-392.1,Fabricación de material médico-quirúrgico
A03-392.2,Fabricación de aparatos de prótesis y ortopedia
A03-393.1,Fabricación de instrumentos ópticos y material fotográfico y cinematográfico (excepto monturas para gafas).
A03-393.2,Fabricación de monturas para gafas (excepto las de plástico).
A03-411.1,Fabricación y envasado de aceite de oliva
A03-411.2,Fabricación de aceite de oliva
A03-411.3,Envasado de aceite de oliva
A03-412.1,Extracción y envasado de aceites de semillas oleaginosas y de orujo de aceituna
A03-412.2,Obtención y envasado de aceites y grasas de animales marinos
A03-412.3,"Refinado, hidrogenación, envasado y otros tratamientos similares de cuerpos grasos vegetales y animales"
A03-412.4,Obtención y envasado de margarina y grasas alimenticias similares
A03-413.1,Sacrificio y despiece de ganado en general
A03-413.2,Fabricación de productos cárnicos de todas clases
A03-413.3,"Salas de despiece autónomas, industrias de aprovechamiento y transformación de subproductos cárnicos para usos industriales y alimentación animal"
A03-413.4,"Incubación y venta de polluelos recién nacidos, mediante la compra de huevos fértiles"
A03-414.1,Preparación de leche
A03-414.2,Preparación de leche en conserva
A03-414.3,Fabricación de queso y mantequilla
A03-414.4,Elaboración de helados y similares
A03-417.1,Fabricación de harinas y sémolas
A03-417.2,Fabricación de otros productos de molinería
A03-418.1,Fabricación de pastas alimenticias
A03-418.2,Fabricación de productos amiláceos
A03-419.1,Industria del pan y de la bollería
A03-419.2,"Industrias de la bollería, pastelería y galletas"
A03-419.3,Industria de elaboración de masas fritas
A03-421.1,Industria del cacao y chocolate
A03-421.2,Elaboración de productos de confitería
A03-422.1,"Forrajes deshidratados, melazados, etc., para la alimentación animal"
A03-422.2,"Harinas de pescado y subproductos animales, productos derivados del reciclaje y transformación de residuos alimenticios y otros preparados para la elaboración de piensos"
A03-422.3,"Elaboración de piensos compuestos de cualquier clase, a excepción de los incluidos en el epígrafe 422.4"
A03-422.4,"Elaboración de piensos compuestos para perros, gatos y otros animales familiares"
A03-423.1,"Elaboración de café, te, y sucedáneos de café"
A03-423.2,"Elaboración de sopas preparadas, extractos y condimentos"
A03-423.3,Elaboración de productos dietéticos y de régimen
A03-423.9,Elaboración de otros productos alimenticios no clasificados en otras partes
A03-424.1,Destilación y rectificación de alcoholes
A03-424.2,Obtención de aguardientes naturales
A03-424.3,"Obtención de aguardientes compuestos, licores y aperitivos no procedentes de vino"
A03-425.1,Elaboración y crianza de vinos
A03-425.2,Elaboración de vinos espumosos
A03-425.3,Elaboración de otros vinos especiales
A03-425.9,Otras industrias vinícolas no clasificados en otras partes
A03-428.1,Preparación y envasado de aguas minerales naturales
A03-428.2,Fabricación de aguas gaseosas y otras bebidas analcohólicas
A03-429.1,"Elaboración de cigarros, cigarrillos y otros productos del tabaco"
A03-429.2,"Primera transformación del tabaco sin elaboración de cigarros, cigarrillos, picadura, etc."
A03-431.1,"Preparación de las fibras de algodón (desmotado, cardado, peinado)."
A03-431.2,Hilado y retorcido del algodón y sus mezclas
A03-431.3,Tejido del algodón y sus mezclas
A03-432.1,"Preparación de las fibras de lana (clasificación, lavado, cardado, peinado)"
A03-432.2,Hilado y retorcido de la lana y sus mezclas.
A03-432.3,Tejido de la lana y sus mezclas
A03-435.1,Fabricación de géneros de punto en pieza
A03-435.2,Fabricación de calcetería
A03-435.3,Fabricación de prendas interiores y ropa de dormir de punto
